ad_archive_id,page_id,page_name,is_active,start_date,end_date,publisher_platform,total_active_time,categories,link_url,media_type,hook,ad_copy,extracted_keywords,forcekeys,forcekeyA,forcekeyB,forcekeyC,forcekeyD,forcekeyE
588987850907025,674166542440211,Next Answers II,1,2025-10-11T07:00:00Z,2025-10-20T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,CREDIT,https://read.technipages.com/automotive/choosing-the-right-affordable-pickup-truck-en-us/?imp=rjs&utm_source=facebook&s1aid=716897028517807&s1cid=%7B%7Bcampaign.id%7D%7D&s1agid=%7B%7Badset.id%7D%7D&placement=%7B%7Bplacement%7D%7D::%7B%7Bsite_source_name%7D%7D&fbclick=Purchase&segment=facebook_716897028517807&fbid=224848139939683&headline=Discover%20Dodge%20and%20Ford%20trucks%20near%20you&optkey=100%20accepted%200%20down%20options%20new%20f150%20and%20ram%20trucks%20near%20me%20[at%20no%20cost]%20apply%20now&ad_id=%7B%7Bad.id%7D%7D&is_pub_ref=true&forcekeyA=100%20accepted%200%20down%20options%20new%20f150%20and%20ram%20trucks%20near%20me%20[at%20no%20cost]%20apply%20now&forcekeyB=find%20100%20accepted%200%20down%20options%20new%20f150%20and%20ram%20trucks%20near%20me%20[at%20no%20cost]%20apply%20now&forcekeyC=100%20accepted%200%20down%20options%20new%20f150%20and%20ram%20trucks%20near%20me%20[at%20no%20cost]%20apply%20now%20near%20you&forcekeyD=get%20100%20accepted%200%20down%20options%20new%20f150%20and%20ram%20trucks%20near%20me%20[at%20no%20cost]%20apply%20now&forcekeyE=apply%20for%20100%20accepted%200%20down%20options%20new%20f150%20and%20ram%20trucks%20near%20me%20[at%20no%20cost]%20apply%20now&clickid=68f6be83087483b7bb8bfd63&fbclid=%7B%7Bfbclid%7D%7D,video,Drive your new truck with zero down Drive your dream truck today!,"Drive your new truck with zero down 
 Drive your dream truck today! Get behind the wheel of a Dodge Ram or F-150 with zero down payment. 
 https://hwet5.ttrk.io",,forcekeyA:100 accepted 0 down options new f150 and ram trucks near me [at no cost] apply now|forcekeyB:find 100 accepted 0 down options new f150 and ram trucks near me [at no cost] apply now|forcekeyC:100 accepted 0 down options new f150 and ram trucks near me [at no cost] apply now near you|forcekeyD:get 100 accepted 0 down options new f150 and ram trucks near me [at no cost] apply now|forcekeyE:apply for 100 accepted 0 down options new f150 and ram trucks near me [at no cost] apply now,100 accepted 0 down options new f150 and ram trucks near me [at no cost] apply now,find 100 accepted 0 down options new f150 and ram trucks near me [at no cost] apply now,100 accepted 0 down options new f150 and ram trucks near me [at no cost] apply now near you,get 100 accepted 0 down options new f150 and ram trucks near me [at no cost] apply now,apply for 100 accepted 0 down options new f150 and ram trucks near me [at no cost] apply now
735815266170945,674166542440211,Next Answers II,1,2025-10-11T07:00:00Z,2025-10-20T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,HOUSING,https://read.technipages.com/real-estate/affordable-senior-living-options-explored-en-us/?imp=rjs&utm_source=facebook&s1aid=716897028517807&s1cid=120237220660990735&s1agid=120237672926340735&placement={{placement}}::{{site_source_name}}&fbclick=Purchase&segment=facebook_716897028517807&fbid=224848139939683&headline=Encuentra%20Tu%20Nuevo%20Hogar%20para%20Mayores&optkey=best%20senior%20living%20options%20for%20$249/mo&ad_id={{ad.id}}&is_pub_ref=true&forcekeyA=best%20senior%20living%20options%20for%20$249/mo&forcekeyB=senior%20living%20options%20for%20$249/mo&forcekeyC=find%20senior%20living%20options%20for%20$249/mo&forcekeyD=best%20senior%20living%20options%20for%20$249/month&forcekeyE=senior%20living%20options%20for%20$249/month,video,¡Solo $249 al mes por vivienda para mayores!,"¡Solo $249 al mes por vivienda para mayores! 
 ¡Tu nuevo hogar para personas mayores te espera! Vive con comodidad y estilo por solo $249 al mes — descubre cómo aplicar hoy. 
 nextanswers.pro",,forcekeyA:best senior living options for $249/mo|forcekeyB:senior living options for $249/mo|forcekeyC:find senior living options for $249/mo|forcekeyD:best senior living options for $249/month|forcekeyE:senior living options for $249/month,best senior living options for $249/mo,senior living options for $249/mo,find senior living options for $249/mo,best senior living options for $249/month,senior living options for $249/month
784820537678113,674166542440211,Next Answers II,1,2025-10-11T07:00:00Z,2025-10-20T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,UNKNOWN,https://read.technipages.com/health/understanding-the-benefits-of-juvederm-treatments-en-us/?imp=rjs&utm_source=facebook&s1aid=716897028517807&s1cid=%7B%7Bcampaign.id%7D%7D&s1agid=%7B%7Badset.id%7D%7D&placement=%7B%7Bplacement%7D%7D::%7B%7Bsite_source_name%7D%7D&fbclick=Purchase&segment=facebook_716897028517807&fbid=224848139939683&headline=Discover%20Different%20Juvederm%20treatment%20options&optkey=juv%c3%a9derm%20clinics%20near%20me&ad_id=%7B%7Bad.id%7D%7D&is_pub_ref=true&forcekeyA=juv%c3%a9derm%20clinics%20near%20me&forcekeyB=find%20juv%c3%a9derm%20clinics%20near%20me&forcekeyC=see%20juv%c3%a9derm%20clinics%20near%20me&forcekeyD=must-see%20juv%c3%a9derm%20clinics%20near%20me&forcekeyE=must%20see%20juv%c3%a9derm%20clinics%20near%20me&clickid=68f6be84cfb919a9cb346890&fbclid=%7B%7Bfbclid%7D%7D,video,Juvederm treatments at surprisingly low prices Smooth out wrinkles and restore volume — Juvederm treatments are more affordable than ever.,"Juvederm treatments at surprisingly low prices 
 Smooth out wrinkles and restore volume — Juvederm treatments are more affordable than ever. 
 https://hwet5.ttrk.io",,forcekeyA:juvéderm clinics near me|forcekeyB:find juvéderm clinics near me|forcekeyC:see juvéderm clinics near me|forcekeyD:must-see juvéderm clinics near me|forcekeyE:must see juvéderm clinics near me,juvéderm clinics near me,find juvéderm clinics near me,see juvéderm clinics near me,must-see juvéderm clinics near me,must see juvéderm clinics near me
1123579293306083,674166542440211,Next Answers II,1,2025-10-11T07:00:00Z,2025-10-20T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,UNKNOWN,https://read.technipages.com/health/understanding-the-benefits-of-juvederm-treatments-en-us/?imp=rjs&utm_source=facebook&s1aid=716897028517807&s1cid=%7B%7Bcampaign.id%7D%7D&s1agid=%7B%7Badset.id%7D%7D&placement=%7B%7Bplacement%7D%7D::%7B%7Bsite_source_name%7D%7D&fbclick=Purchase&segment=facebook_716897028517807&fbid=224848139939683&headline=Discover%20Different%20Juvederm%20treatment%20options&optkey=juv%c3%a9derm%20clinics%20near%20me&ad_id=%7B%7Bad.id%7D%7D&is_pub_ref=true&forcekeyA=juv%c3%a9derm%20clinics%20near%20me&forcekeyB=find%20juv%c3%a9derm%20clinics%20near%20me&forcekeyC=see%20juv%c3%a9derm%20clinics%20near%20me&forcekeyD=must-see%20juv%c3%a9derm%20clinics%20near%20me&forcekeyE=must%20see%20juv%c3%a9derm%20clinics%20near%20me&clickid=68f6be879af5e443e1ef53fe&fbclid=%7B%7Bfbclid%7D%7D,video,Juvederm treatments at surprisingly low prices Smooth out wrinkles and restore volume — Juvederm treatments are more affordable than ever.,"Juvederm treatments at surprisingly low prices 
 Smooth out wrinkles and restore volume — Juvederm treatments are more affordable than ever. 
 https://hwet5.ttrk.io",,forcekeyA:juvéderm clinics near me|forcekeyB:find juvéderm clinics near me|forcekeyC:see juvéderm clinics near me|forcekeyD:must-see juvéderm clinics near me|forcekeyE:must see juvéderm clinics near me,juvéderm clinics near me,find juvéderm clinics near me,see juvéderm clinics near me,must-see juvéderm clinics near me,must see juvéderm clinics near me
1132692962378508,674166542440211,Next Answers II,1,2025-10-11T07:00:00Z,2025-10-20T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,EMPLOYMENT,https://read.technipages.com/careers/2025-opportunities-for-pickup-truck-drivers-en-us/?imp=rjs&utm_source=facebook&s1aid=716897028517807&s1cid=%7B%7Bcampaign.id%7D%7D&s1agid=%7B%7Badset.id%7D%7D&placement=%7B%7Bplacement%7D%7D::%7B%7Bsite_source_name%7D%7D&fbclick=Purchase&segment=facebook_716897028517807&fbid=224848139939683&headline=Discover%20driver%20training%20programs&optkey=pickup%20driver%20career&ad_id=%7B%7Bad.id%7D%7D&is_pub_ref=true&forcekeyA=pickup%20driver%20career&forcekeyB=find%20pickup%20driver%20career&forcekeyC=pickup%20driver%20career%20near%20you&forcekeyD=start%20pickup%20driver%20career&forcekeyE=apply%20for%20pickup%20driver%20career&clickid=68f6be879af5e443e1ef5423&fbclid=%7B%7Bfbclid%7D%7D,video,Get paid to learn — start driving today Get paid while you train!,"Get paid to learn — start driving today 
 Get paid while you train! Start a rewarding driving career even if you have no experience. 
 https://hwet5.ttrk.io",,forcekeyA:pickup driver career|forcekeyB:find pickup driver career|forcekeyC:pickup driver career near you|forcekeyD:start pickup driver career|forcekeyE:apply for pickup driver career,pickup driver career,find pickup driver career,pickup driver career near you,start pickup driver career,apply for pickup driver career
1402947921253312,674166542440211,Next Answers II,1,2025-10-11T07:00:00Z,2025-10-20T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,MEDICARE,https://read.technipages.com/health/explore-the-life-changing-benefits-of-mobility-scooters-en-us/?imp=rjs&utm_source=facebook&s1aid=716897028517807&s1cid=%7B%7Bcampaign.id%7D%7D&s1agid=%7B%7Badset.id%7D%7D&placement=%7B%7Bplacement%7D%7D::%7B%7Bsite_source_name%7D%7D&fbclick=Purchase&segment=facebook_716897028517807&fbid=224848139939683&headline=Learn%20about%20Medicare%20options%20for%20mobility%20scooters&optkey=applying%20for%20medicare-covered%20mobility%20scooters%20asap%20-%20100%20coverage&ad_id=%7B%7Bad.id%7D%7D&is_pub_ref=true&forcekeyA=applying%20for%20medicare-covered%20mobility%20scooters%20asap%20-%20100%20coverage&forcekeyB=apply%20for%20medicare-covered%20mobility%20scooters%20asap%20-%20100%20coverage&forcekeyC=find%20applying%20for%20medicare-covered%20mobility%20scooters%20asap%20-%20100%20coverage&forcekeyD=applying%20for%20medicare-covered%20mobility%20scooters%20asap%20-%20100%20coverage%20near%20you&forcekeyE=get%20applying%20for%20medicare-covered%20mobility%20scooters%20asap%20-%20100%20coverage&clickid=68f6be899af5e443e1ef5463&fbclid=%7B%7Bfbclid%7D%7D,video,Take back your independence today Regain your freedom with a Medicare-covered mobility scooter — no out-of-pocket costs for those who qualify.,"Take back your independence today 
 Regain your freedom with a Medicare-covered mobility scooter — no out-of-pocket costs for those who qualify. 
 https://hwet5.ttrk.io",,forcekeyA:applying for medicare-covered mobility scooters asap - 100 coverage|forcekeyB:apply for medicare-covered mobility scooters asap - 100 coverage|forcekeyC:find applying for medicare-covered mobility scooters asap - 100 coverage|forcekeyD:applying for medicare-covered mobility scooters asap - 100 coverage near you|forcekeyE:get applying for medicare-covered mobility scooters asap - 100 coverage,applying for medicare-covered mobility scooters asap - 100 coverage,apply for medicare-covered mobility scooters asap - 100 coverage,find applying for medicare-covered mobility scooters asap - 100 coverage,applying for medicare-covered mobility scooters asap - 100 coverage near you,get applying for medicare-covered mobility scooters asap - 100 coverage
1480302279873453,674166542440211,Next Answers II,1,2025-10-11T07:00:00Z,2025-10-19T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,MEDICARE,https://read.technipages.com/health/explore-the-life-changing-benefits-of-mobility-scooters-en-us/?imp=rjs&utm_source=facebook&s1aid=716897028517807&s1cid=%7B%7Bcampaign.id%7D%7D&s1agid=%7B%7Badset.id%7D%7D&placement=%7B%7Bplacement%7D%7D::%7B%7Bsite_source_name%7D%7D&fbclick=Purchase&segment=facebook_716897028517807&fbid=224848139939683&headline=Learn%20about%20Medicare%20options%20for%20mobility%20scooters&optkey=applying%20for%20medicare-covered%20mobility%20scooters%20asap%20-%20100%20coverage&ad_id=%7B%7Bad.id%7D%7D&is_pub_ref=true&forcekeyA=applying%20for%20medicare-covered%20mobility%20scooters%20asap%20-%20100%20coverage&forcekeyB=apply%20for%20medicare-covered%20mobility%20scooters%20asap%20-%20100%20coverage&forcekeyC=find%20applying%20for%20medicare-covered%20mobility%20scooters%20asap%20-%20100%20coverage&forcekeyD=applying%20for%20medicare-covered%20mobility%20scooters%20asap%20-%20100%20coverage%20near%20you&forcekeyE=get%20applying%20for%20medicare-covered%20mobility%20scooters%20asap%20-%20100%20coverage&clickid=68f6be89cfb919a9cb346a2a&fbclid=%7B%7Bfbclid%7D%7D,video,Take back your independence today Regain your freedom with a Medicare-covered mobility scooter — no out-of-pocket costs for those who qualify.,"Take back your independence today 
 Regain your freedom with a Medicare-covered mobility scooter — no out-of-pocket costs for those who qualify. 
 https://hwet5.ttrk.io",,forcekeyA:applying for medicare-covered mobility scooters asap - 100 coverage|forcekeyB:apply for medicare-covered mobility scooters asap - 100 coverage|forcekeyC:find applying for medicare-covered mobility scooters asap - 100 coverage|forcekeyD:applying for medicare-covered mobility scooters asap - 100 coverage near you|forcekeyE:get applying for medicare-covered mobility scooters asap - 100 coverage,applying for medicare-covered mobility scooters asap - 100 coverage,apply for medicare-covered mobility scooters asap - 100 coverage,find applying for medicare-covered mobility scooters asap - 100 coverage,applying for medicare-covered mobility scooters asap - 100 coverage near you,get applying for medicare-covered mobility scooters asap - 100 coverage
1512507663104926,674166542440211,Next Answers II,1,2025-10-11T07:00:00Z,2025-10-20T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,HOUSING,https://read.technipages.com/real-estate/affordable-senior-living-options-explored-en-us/?imp=rjs&utm_source=facebook&s1aid=716897028517807&s1cid=120237220660990735&s1agid=120237672926340735&placement={{placement}}::{{site_source_name}}&fbclick=Purchase&segment=facebook_716897028517807&fbid=224848139939683&headline=Encuentra%20Tu%20Nuevo%20Hogar%20para%20Mayores&optkey=best%20senior%20living%20options%20for%20$249/mo&ad_id={{ad.id}}&is_pub_ref=true&forcekeyA=best%20senior%20living%20options%20for%20$249/mo&forcekeyB=senior%20living%20options%20for%20$249/mo&forcekeyC=find%20senior%20living%20options%20for%20$249/mo&forcekeyD=best%20senior%20living%20options%20for%20$249/month&forcekeyE=senior%20living%20options%20for%20$249/month,video,¡Solo $249 al mes por vivienda para mayores!,"¡Solo $249 al mes por vivienda para mayores! 
 ¡Tu nuevo hogar para personas mayores te espera! Vive con comodidad y estilo por solo $249 al mes — descubre cómo aplicar hoy. 
 nextanswers.pro",,forcekeyA:best senior living options for $249/mo|forcekeyB:senior living options for $249/mo|forcekeyC:find senior living options for $249/mo|forcekeyD:best senior living options for $249/month|forcekeyE:senior living options for $249/month,best senior living options for $249/mo,senior living options for $249/mo,find senior living options for $249/mo,best senior living options for $249/month,senior living options for $249/month
1581279903036543,674166542440211,Next Answers II,1,2025-10-11T07:00:00Z,2025-10-20T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,CREDIT,https://read.technipages.com/automotive/why-the-2025-grand-cherokee-excels-off-road-en-us/?imp=rjs&utm_source=facebook&s1aid=716897028517807&s1cid=120237221921210735&s1agid=120237673082330735&placement={{placement}}::{{site_source_name}}&fbclick=Purchase&segment=facebook_716897028517807&fbid=224848139939683&headline=Get%20Behind%20the%20Wheel%20of%20a%20Grand%20Cherokee&optkey=$100/month%20%E2%80%90%20Grand%20Cherokee%202024%20Suvs%20Nearby&ad_id={{ad.id}}&is_pub_ref=true&forcekeyA=$100/month%20%E2%80%90%20Grand%20Cherokee%202024%20Suvs%20Nearby&forcekeyB=$100/month%20Grand%20Cherokee%202024%20Suvs%20Nearby&forcekeyC=$100/month%20%E2%80%90%20Grand%20Cherokee%202024%20Suvs%20Near%20me&forcekeyD=$100/month%20%E2%80%90%20Grand%20Cherokee%202024%20Suv%20Nearby&forcekeyE=$100/month%20%E2%80%90%20Grand%20Cherokee%202025%20Suvs%20Nearby,video,Grand Cherokee From $100/Month Don’t miss this: Grand Cherokee SUV deals starting at just $100/month—available now in your area.,"Grand Cherokee From $100/Month 
 Don’t miss this: Grand Cherokee SUV deals starting at just $100/month—available now in your area. 
 nextanswers.pro",,forcekeyA:$100/month ‐ Grand Cherokee 2024 Suvs Nearby|forcekeyB:$100/month Grand Cherokee 2024 Suvs Nearby|forcekeyC:$100/month ‐ Grand Cherokee 2024 Suvs Near me|forcekeyD:$100/month ‐ Grand Cherokee 2024 Suv Nearby|forcekeyE:$100/month ‐ Grand Cherokee 2025 Suvs Nearby,$100/month ‐ Grand Cherokee 2024 Suvs Nearby,$100/month Grand Cherokee 2024 Suvs Nearby,$100/month ‐ Grand Cherokee 2024 Suvs Near me,$100/month ‐ Grand Cherokee 2024 Suv Nearby,$100/month ‐ Grand Cherokee 2025 Suvs Nearby
1787112881924701,674166542440211,Next Answers II,1,2025-10-11T07:00:00Z,2025-10-20T07:00:00Z,FACEBOOK|INSTAGRAM|AUDIENCE_NETWORK|MESSENGER|THREADS,,UNKNOWN,https://read.technipages.com/health/understanding-the-benefits-of-juvederm-treatments-en-us/?imp=rjs&utm_source=facebook&s1aid=716897028517807&s1cid=%7B%7Bcampaign.id%7D%7D&s1agid=%7B%7Badset.id%7D%7D&placement=%7B%7Bplacement%7D%7D::%7B%7Bsite_source_name%7D%7D&fbclick=Purchase&segment=facebook_716897028517807&fbid=224848139939683&headline=Discover%20Different%20Juvederm%20treatment%20options&optkey=juv%c3%a9derm%20clinics%20near%20me&ad_id=%7B%7Bad.id%7D%7D&is_pub_ref=true&forcekeyA=juv%c3%a9derm%20clinics%20near%20me&forcekeyB=find%20juv%c3%a9derm%20clinics%20near%20me&forcekeyC=see%20juv%c3%a9derm%20clinics%20near%20me&forcekeyD=must-see%20juv%c3%a9derm%20clinics%20near%20me&forcekeyE=must%20see%20juv%c3%a9derm%20clinics%20near%20me&clickid=68f6be8b087483b7bb8bffc8&fbclid=%7B%7Bfbclid%7D%7D,video,Juvederm treatments at surprisingly low prices Smooth out wrinkles and restore volume — Juvederm treatments are more affordable than ever.,"Juvederm treatments at surprisingly low prices 
 Smooth out wrinkles and restore volume — Juvederm treatments are more affordable than ever. 
 https://hwet5.ttrk.io",,forcekeyA:juvéderm clinics near me|forcekeyB:find juvéderm clinics near me|forcekeyC:see juvéderm clinics near me|forcekeyD:must-see juvéderm clinics near me|forcekeyE:must see juvéderm clinics near me,juvéderm clinics near me,find juvéderm clinics near me,see juvéderm clinics near me,must-see juvéderm clinics near me,must see juvéderm clinics near me
