competitor_id,pixel_ids,param_keys,widget_phrases,widget_forcekey_matches,ad_count
YWRfaWR8ZmJj,,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,___|Ryan Pauls|préstamos FHA|préstamos del USDA|Compromiso Comunitario de Propiedad de Vivienda de Bank of America|Programa de Propiedad de Vivienda con Vales de Elección de Vivienda|programas de asistencia para compradores de vivienda|About Us|Contact|Terms of Use|Privacy Policy|Do not Sell my Info|Assist Me in Getting a House in los Angeles|Help Me Get a House|Ayuda para Primeros Compradores de Casa en California|Help Me Get a House in California|Help Me Get a House in los Angeles|Help Me Get a House by 2025,forcekeyA:Help me get a house|forcekeyB:Assist me in getting a house,1
YWRfaWR8ZmJj,,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,___|Ryan Pauls|préstamos FHA|préstamos del USDA|Compromiso Comunitario de Propiedad de Vivienda de Bank of America|Programa de Propiedad de Vivienda con Vales de Elección de Vivienda|programas de asistencia para compradores de vivienda|About Us|Contact|Terms of Use|Privacy Policy|Do not Sell my Info|Help Me Get a House|Ayuda para Primeros Compradores de Casa en California|Assist Me in Getting a House|Help Me Get a House in California by 2025|Help Me Get a House in los Angeles|Help Me Get a House in 2025,forcekeyA:Help me get a house|forcekeyB:Assist me in getting a house|forcekeyD:Help me get a house in 2025,1
YWRfaWR8ZmJj,,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,___|Ryan Pauls|préstamos FHA|préstamos del USDA|Compromiso Comunitario de Propiedad de Vivienda de Bank of America|Programa de Propiedad de Vivienda con Vales de Elección de Vivienda|programas de asistencia para compradores de vivienda|About Us|Contact|Terms of Use|Privacy Policy|Do not Sell my Info|Help Me Get a House in los Angeles|Help Me Get a House|Credito del Gobierno para Casa|Help Me Get a House in California|Help Me Get a House by 2025|Ayuda para Primeros Compradores de Casa en California,forcekeyA:Help me get a house,1
YWRfaWR8ZmJj,,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,___|Ryan Pauls|préstamos FHA|préstamos del USDA|Compromiso Comunitario de Propiedad de Vivienda de Bank of America|Programa de Propiedad de Vivienda con Vales de Elección de Vivienda|programas de asistencia para compradores de vivienda|About Us|Contact|Terms of Use|Privacy Policy|Do not Sell my Info|Comprar Casa en Cuotas Sin Anticipo|Quiero Rentar Mi Casa por Medio de una Inmobiliaria|Ayuda para Comprar Casa por Primera Vez en Kissimmee|Help Me Get a House in California by 2025|Ayuda para Primeros Compradores de Casa en California|Planes de Viviendas para Pagar en Cuotas,forcekeyA:Help me get a house,1
YWRfaWR8ZmJj,,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,___|Ryan Pauls|several advantages|Apartments.com|SeniorHousingNet.com|APlaceForMom.com|former Briarwood College campus|215 affordable housing units|personal needs and preferences|different amenities|About Us|Contact|Terms of Use|Privacy Policy|Do not Sell my Info|Senior Independent Living Nearby|Must See Senior Living Options for $249/month|Must-see Senior Living Options for $249/month|Find Senior Living Options for $249/month|Senior Living Options for $249/month|See Senior Living Options for $249/month,forcekeyA:Senior Living Options for $249/month|forcekeyB:see Senior Living Options for $249/month|forcekeyC:find Senior Living Options for $249/month|forcekeyD:must see Senior Living Options for $249/month|forcekeyE:must-see Senior Living Options for $249/month,2
forcekeyA:tree cutting service for $49 near my zipcode|forcekeyB:tree cutting services for $49 near my zipcode|forcekeyC:tree cutting service near my zipcode for $49|forcekeyD:tree cutting services near my zipcode for $49|forcekeyE:tree cutting service for $49 near me,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,,,___|Kaili Bell|shop around and get multiple quotes|by hundreds of dollars|companies offer discounts|About Us|Contact|Terms of Use|Privacy Policy|Do not Sell my Info|Tree Cutting Service Near My Zipcode for $49|Tree Cutting Service for $49 Near Me|Cheap Tree Removal|Tree Cutting Services for $49 Near My Zipcode|Tree Cutting Service for $49 Near My Zipcode|Tree Cutting Services Near My Zipcode for $49,2
YWRfaWR8ZmJj,,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,___|Ryan Pauls|several advantages|Apartments.com|SeniorHousingNet.com|APlaceForMom.com|former Briarwood College campus|215 affordable housing units|personal needs and preferences|different amenities|About Us|Contact|Terms of Use|Privacy Policy|Do not Sell my Info|Must-see Senior Living Options for $249/month|Senior Living Options for $249/month|See Senior Living Options for $249/month|Find Senior Living Options for $249/month|Santa Monica New Hope Apartments|Must See Senior Living Options for $249/month,forcekeyA:Senior Living Options for $249/month|forcekeyB:see Senior Living Options for $249/month|forcekeyC:find Senior Living Options for $249/month|forcekeyD:must see Senior Living Options for $249/month|forcekeyE:must-see Senior Living Options for $249/month,1
forcekeyA:tree cutting service for $49 near my zipcode|forcekeyB:tree cutting services for $49 near my zipcode|forcekeyC:tree cutting service near my zipcode for $49|forcekeyD:tree cutting services near my zipcode for $49|forcekeyE:tree cutting service for $49 near me,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,,,___|Kaili Bell|shop around and get multiple quotes|by hundreds of dollars|companies offer discounts|About Us|Contact|Terms of Use|Privacy Policy|Do not Sell my Info|Tree Cutting Service Near My Zipcode for $49|Tree Cutting Service for $49 Near Me|Tree Removal Near Me|Tree Cutting Services for $49 Near My Zipcode|Tree Cutting Service for $49 Near My Zipcode|Tree Cutting Services Near My Zipcode for $49,1
YWRfaWR8ZmJj,,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,___|Ryan Pauls|membership programs and discounts|between $300 and $600|About Us|Contact|Terms of Use|Privacy Policy|Do not Sell my Info|Get $119 Botox Doctor Near Me Full Botox|Best Get $119 Botox Doctor Near Me Full Botox|Botox 3 Areas for 150 Near Me|Get $119 Botox Doctor in los Angeles Near Me Full Botox|Get $119 Botox Doctor Near Me Full Botox October 2025|Get $119 Botox Doctors Near Me Full Botox,forcekeyA:get $119 botox doctor near me full botox|forcekeyB:$119 botox doctor near me full botox,2
YWRfaWR8ZmJj,,ad_id|fbclick|fbid|forcekeyA|forcekeyB|forcekeyC|forcekeyD|forcekeyE|headline|imp|is_pub_ref|optkey|placement|s1agid|s1aid|s1cid|segment|utm_source,___|Ryan Pauls|membership programs and discounts|between $300 and $600|About Us|Contact|Terms of Use|Privacy Policy|Do not Sell my Info|Get $119 Botox Doctor Near Me Full Botox|Get $119 Botox Doctors Near Me Full Botox|Botox 3 Areas for 150 Near Me|Get $119 Botox Doctor in los Angeles Near Me Full Botox|Get $119 Botox Doctor Near Me Full Botox October 2025|Best Get $119 Botox Doctor Near Me Full Botox,forcekeyA:get $119 botox doctor near me full botox|forcekeyB:$119 botox doctor near me full botox,1
