category,hook,count
UNKNOWN,Compra tu Casa con Dinero Gratis: Descubre Cómo ¿Quieres comprar una casa pero no tienes dinero?,8
UNKNOWN,Tree Removal for Just $49 – See If You Qualify!,7
UNKNOWN,Botox completo solo $119 Luce radiante con Botox completo por solo $119—la belleza gana aquí everydaysolutions.,23
UNKNOWN,Teléfonos Gratis para Adultos Mayores Celulares económicos y fáciles de usar esperan por los adultos mayores.,39
UNKNOWN,Comunidades para adultos mayores que están dando de qué hablar en 2025 ¿Estás pensando en mudarte?,4
UNKNOWN,🛻 GMC Sierra Under $10k Deal!,3
UNKNOWN,Dinero Gratis Para Comprar Casa — ¡Revisa Aquí!,11
UNKNOWN,Full Botox Treatment — Only $119!,14
UNKNOWN,🚀 Govt-Funded LPN Training 📚 Train as an Licensed Nurse Practitioner — 100% government-funded!,4
UNKNOWN,Botox completo solo $149 Obtener brillante con Botox completo en solo $ 149-belleza gana aquí 💉 https://everydaysolutions.,4
UNKNOWN,Full Botox Only $119 Get glowing with full Botox at just $119—beauty wins here 💉 everydaysolutions.,3
UNKNOWN,Everyday Solutions III Get glowing with full Botox at just $119—beauty wins here 💉 everydaysolutions.,2
UNKNOWN,{{product.,4
UNKNOWN,🏠 Casas Sin Enganche Cerca de Ti ¿Sueñas con tener casa propia pero te preocupa el enganche?,5
UNKNOWN,$299 LASIK Near You 👓 Just found $299 LASIK in my area—clear vision doesn’t have to cost thousands!,4
UNKNOWN,Google Phone Now $0?,6
UNKNOWN,👉 Check If You Qualify for Free Fat Removal Today!,2
UNKNOWN,"$4,000 for Doing Almost Nothing – Sleep Apnea Trial Paying NOW!",11
UNKNOWN,Affordable Botox Treatments Smooth your look without overspending.,3
UNKNOWN,"Earn $1,500 + FREE Treatment—Join This Study TODAY!",7
UNKNOWN,💉 Botox From $3/Unit – Limited-Time Offer!,5
UNKNOWN,"Neuropathy Patients Wanted – $3,000 Reward 💰 Researchers are looking for neuropathy trial participants right now.",3
HOUSING,$249/Month Senior Living!,25
HOUSING,Rent Limited to 30 Percent 🏠 Rent capped at just 30% of your income?,3
CREDIT,Low Cost Pet Insurance For Seniors 🐾 💸 Love your furry friend?,8
DENTAL_IMPLANTS,Get Your Permanent Dental Implants NOW – 100% FREE!,26
DENTAL_IMPLANTS,💥 FREE Dental Implants + Cash — See If You Qualify NOW!,7
