competitor_id,pixel_ids,param_keys,widget_phrases,widget_forcekey_matches,ad_count
l|utm_campaign|utm_content|utm_medium|utm_source|utm_term, comfort,"""The Smart Rollator That’s Changing Senior Mobility 🚶‍♂️💡 
 Discover the high-tech upgrade to traditional walkers—designed for safety"," and independence. 
 budgetdetails.com""",tg3augsheet1|bu-MobilityAids-tg3augsheet1-fb-us-hm-0824-GE01-p,1
l|utm_campaign|utm_content|utm_medium|utm_source|utm_term, comfort,"""The Smart Rollator That’s Changing Senior Mobility 🚶‍♂️💡 
 Discover the high-tech upgrade to traditional walkers—designed for safety"," and independence. 
 budgetdetails.com""",tg3augsheet1_picvidmix|bu-MobilityAids-tg3augsheet1_picvidmix-fb-us-hm-0807-GE01-p,7
bHx1dG1fY2Ft,,l|utm_campaign|utm_content|utm_medium|utm_source|utm_term,,,7
c2lsdmVyc2xp,,,,,49
d3d3Lm1zbi5j,,,,,6
 who qualifies,image,"get+paid+to+take+care+Santa+Monica+autistic+child&adtext=Exolore+more+about+Housing+Assistance+Grants+for+Autism+Families&search=housing+assistance+grants+for+autism+families&fbclid=undefined""",Essential Info on Autism Housing Assistance Grants 💡🧩 Discover the essentials of housing assistance grants for autism families!,"""Essential Info on Autism Housing Assistance Grants 💡🧩 
 Discover the essentials of housing assistance grants for autism families! 🧩💰

Learn what housing support exists",2
ZHNwQWRBY2Nv,,dspAdAccountId|dspAdTitle|dspCampaignId|dspCampaignName|dspConversionEventName|dspName|platformFeedCampaignId|platformVertical,,,1
{{campaign.name}},image,"selling%2Breturned%2Bitems&adtext=amazon%2Breturned%2Bitems%2Bsale&search=amazon%2Breturned%2Bitems%2Bsale&fbclid=undefined""",Discover Returned Amazon Items Learn how Returned Amazon Items Sale work and are sold.,"""Discover Returned Amazon Items 
 Learn how Returned Amazon Items Sale work and are sold. Here's what you need to know before considering a purchase. 
 getgrownuphacks.com""",1
{{campaign.name}},image,"pallet+sales+near+me&adtext=amazon+returned+items+sale&search=amazon+returned+items+sale&fbclid=undefined""",Discover Returned Amazon Items Learn how Returned Amazon Items Sale work and are sold.,"""Discover Returned Amazon Items 
 Learn how Returned Amazon Items Sale work and are sold. Here's what you need to know before considering a purchase. 
 getgrownuphacks.com""",1
d2h5dGhlc2Uu,,,,,18
ZnVuY2F0ei5j,,,,,9
ZGlzY292ZXIx,,,,,11
aW52ZXN0aW5n,,,,,5
Z2xhbTFzdC5j,,,,,2
am91cm5leXJh,,,,,2
dGVkZHlmZWVk,,,,,4
bGlmZXN0eWxl,,,,,7
Ym91dGlxdWUx,,,,,3
cG9wdWxhcjFz,,,,,2
Z2VuaXVzMXN0,,,,,3
dG9waWNzMXN0,,,,,1
c2NpZW5jZTFz,,,,,1
dHJlbmRpbmcx,,,,,2
b2ZmZXJzMXN0,,,,,1
b2ZmZXJfaWR8,,offer_id|rac,,,4
Y2FtcF9pZHxv,,camp_id|offer_id|rac,,,1
camp_id|offer_id|rac, reduce stress, Asian massage offers a holistic way to relieve tension and restore balance. Discover how these traditional practices can improve circulation," and enhance overall health. 
 instanswers.com""",,1
d3d3LnlhaG9v,,,,,153
ZmluZC5wcm8t,,,,,7
ZGlzY292ZXIu,,,,,8
ZXhwbG9yZS53,,,,,3
MTc2Njg0NDUx,1766844510712985,account_id|ad_id|adset_id|campaign_id|cid|fb_pixel_id|id|rac|search|source|terms,,,48
YWRncm91cF9p,,adgroup_id|adgroup_name|campaign_id|campaign_name|creative_id|creative_name|event|key|pixel|placement,,,8
ZmJjbGlja3xm,,fbclick|fbclid|fbid|fbland|fbserp|forceKeyA|forceKeyB|forceKeyC|forceKeyD|forceKeyE|forceKeyF|headline|s1padid|s1pagid|s1paid|s1pcid|s1pplacement|segment,,,50
ZmJjbGlja3xm,,fbclick|fbclid|fbid|fbland|fbserp|forceKeyA|forceKeyB|forceKeyC|forceKeyD|forceKeyE|headline|s1padid|s1pagid|s1paid|s1pcid|s1pplacement|segment,,,7
account_id|ad_id|ad_name|adset_id|adset_name|campaign_id|campaign_name|placement|source, price,"""🚙 Learn About F150 vs Ram 1500 
 These two truck models continue to dominate roads for a reason—explore how they stack up in power"," and features. 
 insighthivepro.com""",,2
" and conditions vary by company and location. Learn more for general information.""", requirements," and conditions vary by company and location. Learn more for general information. 
 Some employers may have openings for Home Repair. Availability"," and conditions vary by company and location. Learn more for general information. 
 Some employers may have openings for Home Repair. Availability", requirements,2
click_track_url|fbclick|fbid|forceKeyA|forceKeyB|forceKeyC|forceKeyD|forceKeyE|forceKeyF|headline|impression_track_url|nonrevsubid|s1padid|s1pagid|s1paid|s1particle|s1pcid|s1pplacement|search_track_url|segment|subid|utm_source, requirements," and conditions vary by company and location. Learn more for general information. 
 Some employers may have openings for Home Repair. Availability"," and conditions vary by company and location. Learn more for general information.""",,1
" and conditions vary by company and location. Learn more for general information.""", requirements," and conditions vary by company and location. Learn more for general information. 
 Some employers may have openings for Pickup Driver. Availability"," and conditions vary by company and location. Learn more for general information. 
 Some employers may have openings for Pickup Driver. Availability", requirements,2
click_track_url|fbclick|fbid|forceKeyA|forceKeyB|forceKeyC|forceKeyD|forceKeyE|forceKeyF|headline|impression_track_url|nonrevsubid|s1padid|s1pagid|s1paid|s1particle|s1pcid|s1pplacement|search_track_url|segment|subid|utm_source, requirements," and conditions vary by company and location. Learn more for general information. 
 Some employers may have openings for Pickup Driver. Availability"," and conditions vary by company and location. Learn more for general information.""",,1
" and conditions vary by company and location. Learn more for general information.""", requirements," and conditions vary by company and location. Learn more for general information. 
 Some employers may have openings for Painting. Availability"," and conditions vary by company and location. Learn more for general information. 
 Some employers may have openings for Painting. Availability", requirements,1
click_track_url|fbclick|fbid|forceKeyA|forceKeyB|forceKeyC|forceKeyD|forceKeyE|forceKeyF|headline|impression_track_url|nonrevsubid|s1padid|s1pagid|s1paid|s1particle|s1pcid|s1pplacement|search_track_url|segment|subid|utm_source, requirements," and conditions vary by company and location. Learn more for general information. 
 Some employers may have openings for Power Washing. Availability"," and conditions vary by company and location. Learn more for general information.""",,2
" and conditions vary by company and location. Learn more for general information. 
 Some employers may have openings for Power Washing. Availability", requirements," and conditions vary by company and location. Learn more for general information. 
 Some employers may have openings for Power Washing. Availability"," and conditions vary by company and location. Learn more for general information. 
 Some employers may have openings for Power Washing. Availability", requirements,1
Y2xpY2tfdHJh,,click_track_url|fbclick|fbid|forceKeyA|forceKeyB|forceKeyC|forceKeyD|forceKeyE|forceKeyF|headline|impression_track_url|nonrevsubid|s1padid|s1pagid|s1paid|s1particle|s1pcid|s1pplacement|search_track_url|segment|subid|utm_source,,,21
click_track_url|fbclick|fbid|forceKeyA|forceKeyB|forceKeyC|forceKeyD|forceKeyE|forceKeyF|headline|impression_track_url|nonrevsubid|s1padid|s1pagid|s1paid|s1particle|s1pcid|s1pplacement|search_track_url|segment|subid|utm_source, requirements," and conditions vary by institution. Learn more for general information. 
 Some online high school programs may provide laptops or other devices to support digital learning. Availability"," and conditions vary by institution. Learn more for general information.""",,3
click_track_url|fbclick|fbid|forceKeyA|forceKeyB|forceKeyC|forceKeyD|forceKeyE|forceKeyF|headline|impression_track_url|nonrevsubid|s1padid|s1pagid|s1paid|s1particle|s1pcid|s1pplacement|search_track_url|segment|subid|utm_source, number of units," and provider. Treatment frequency also influences overall expense. Learn more about how pricing works. 
 The cost of Botox may range depending on procedure type"," and provider. Treatment frequency also influences overall expense. Learn more about how pricing works.""",,1
