cluster_id,hook,forcekeys,unique_ad_count,run_dir
1,Compra tu Casa con Dinero Gratis: Descubre Cómo ¿Quieres comprar una casa pero no tienes dinero?,Help me get a house | Assist me in getting a house | Help me get a house in {city} | Help me get a house in 2025 | Help me get a house in {region} by 2025,8,backend/runs/2025-10-20_593450633843471/
1,Compra tu Casa con Dinero Gratis: Descubre Cómo ¿Quieres comprar una casa pero no tienes dinero?,Help me get a house | Assist me in getting a house | Help me get a house in {city} | Help me get a house in 2025 | Help me get a house in {region} by 2025,8,backend/runs/2025-10-21_3pages/
1,Compra tu Casa con Dinero Gratis: Descubre Cómo ¿Quieres comprar una casa pero no tienes dinero?,Help me get a house | Assist me in getting a house | Help me get a house in {city} | Help me get a house in 2025 | Help me get a house in {region} by 2025,4,backend/runs/2025-10-21_3pages_headless/
1,Compra tu Casa con Dinero Gratis: Descubre Cómo ¿Quieres comprar una casa pero no tienes dinero?,Help me get a house | Assist me in getting a house | Help me get a house in {city} | Help me get a house in 2025 | Help me get a house in {region} by 2025,8,backend/runs/2025-10-21_3pages_headless_click/
1,Compra tu Casa con Dinero Gratis: Descubre Cómo ¿Quieres comprar una casa pero no tienes dinero?,Help me get a house | Assist me in getting a house | Help me get a house in {city} | Help me get a house in 2025 | Help me get a house in {region} by 2025,4,backend/runs/2025-10-21_3pages_retry/
1,Compra tu Casa con Dinero Gratis: Descubre Cómo ¿Quieres comprar una casa pero no tienes dinero?,Help me get a house | Assist me in getting a house | Help me get a house in {city} | Help me get a house in 2025 | Help me get a house in {region} by 2025,8,backend/runs/2025-10-21_3pages_widget/
1,Compra tu Casa con Dinero Gratis: Descubre Cómo ¿Quieres comprar una casa pero no tienes dinero?,Help me get a house | Assist me in getting a house | Help me get a house in {city} | Help me get a house in 2025 | Help me get a house in {region} by 2025,8,backend/runs/2025-10-21_40libs/
2,$249/Month Senior Living!,Senior Living Options for $249/month | see Senior Living Options for $249/month | find Senior Living Options for $249/month | must see Senior Living Options for $249/month | must-see Senior Living Options for $249/month,25,backend/runs/2025-10-20_593450633843471/
2,Senior Living for $249!,best senior living options for $249/mo | senior living options for $249/mo | find senior living options for $249/mo | best senior living options for $249/month | senior living options for $249/month,42,backend/runs/2025-10-20_674166542440211/
2,$249/Month Senior Living!,Senior Living Options for $249/month | see Senior Living Options for $249/month | find Senior Living Options for $249/month | must see Senior Living Options for $249/month | must-see Senior Living Options for $249/month,18,backend/runs/2025-10-20_674166542440211/
2,$249/Month Senior Living!,Senior Living Options for $249/month | see Senior Living Options for $249/month | find Senior Living Options for $249/month | must see Senior Living Options for $249/month | must-see Senior Living Options for $249/month,43,backend/runs/2025-10-21_3pages/
2,Senior Living for $249!,best senior living options for $249/mo | senior living options for $249/mo | find senior living options for $249/mo | best senior living options for $249/month | senior living options for $249/month,45,backend/runs/2025-10-21_3pages/
2,$249/Month Senior Living!,Senior Living Options for $249/month | see Senior Living Options for $249/month | find Senior Living Options for $249/month | must see Senior Living Options for $249/month | must-see Senior Living Options for $249/month,15,backend/runs/2025-10-21_3pages_headless/
2,Senior Living for $249!,best senior living options for $249/mo | senior living options for $249/mo | find senior living options for $249/mo | best senior living options for $249/month | senior living options for $249/month,29,backend/runs/2025-10-21_3pages_headless/
2,$249/Month Senior Living!,Senior Living Options for $249/month | see Senior Living Options for $249/month | find Senior Living Options for $249/month | must see Senior Living Options for $249/month | must-see Senior Living Options for $249/month,25,backend/runs/2025-10-21_3pages_headless_click/
2,Senior Living for $249!,best senior living options for $249/mo | senior living options for $249/mo | find senior living options for $249/mo | best senior living options for $249/month | senior living options for $249/month,29,backend/runs/2025-10-21_3pages_headless_click/
2,$249/Month Senior Living!,Senior Living Options for $249/month | see Senior Living Options for $249/month | find Senior Living Options for $249/month | must see Senior Living Options for $249/month | must-see Senior Living Options for $249/month,3,backend/runs/2025-10-21_3pages_retry/
2,$249/Month Senior Living!,Senior Living Options for $249/month | see Senior Living Options for $249/month | find Senior Living Options for $249/month | must see Senior Living Options for $249/month | must-see Senior Living Options for $249/month,25,backend/runs/2025-10-21_3pages_widget/
2,$249/Month Senior Living!,Senior Living Options for $249/month | see Senior Living Options for $249/month | find Senior Living Options for $249/month | must see Senior Living Options for $249/month | must-see Senior Living Options for $249/month,36,backend/runs/2025-10-21_40libs/
2,Senior Living for $249!,best senior living options for $249/mo | senior living options for $249/mo | find senior living options for $249/mo | best senior living options for $249/month | senior living options for $249/month,50,backend/runs/2025-10-21_40libs/
3,Tree Removal for Just $49 – See If You Qualify!,tree cutting service for $49 near my zipcode | tree cutting services for $49 near my zipcode | tree cutting service near my zipcode for $49 | tree cutting services near my zipcode for $49 | tree cutting service for $49 near me,7,backend/runs/2025-10-20_593450633843471/
3,Tree Removal for Just $49 – See If You Qualify!,Tree Cutting Service for $49 Near My Zipcode | Tree Cutting Services for $49 Near My Zipcode | Tree Cutting Service Near My Zipcode for $49 | Tree Cutting Services Near My Zipcode for $49 | Tree Cutting Service for $49 Near Me,136,backend/runs/2025-10-20_674166542440211/
3,Tree Removal for Just $49 – See If You Qualify!,tree cutting service for $49 near my [zip] | tree cutting services for $49 near my [zip] | tree cutting service near my [zip] for $49 | tree cutting services near my [zip] for $49 | tree cutting service for $49 near me,6,backend/runs/2025-10-20_674166542440211/
3,Tree Removal for Just $49 – See If You Qualify!,tree cutting service for $49 near my zipcode | tree cutting services for $49 near my zipcode | tree cutting service near my zipcode for $49 | tree cutting services near my zipcode for $49 | tree cutting service for $49 near me,2,backend/runs/2025-10-20_674166542440211/
3,Tree Removal for Just $49 – See If You Qualify!,tree cutting service for $49 near my zipcode | tree cutting services for $49 near my zipcode | tree cutting service near my zipcode for $49 | tree cutting services near my zipcode for $49 | tree cutting service for $49 near me,9,backend/runs/2025-10-21_3pages/
3,Tree Removal for Just $49 – See If You Qualify!,Tree Cutting Service for $49 Near My Zipcode | Tree Cutting Services for $49 Near My Zipcode | Tree Cutting Service Near My Zipcode for $49 | Tree Cutting Services Near My Zipcode for $49 | Tree Cutting Service for $49 Near Me,136,backend/runs/2025-10-21_3pages/
3,Tree Removal for Just $49 – See If You Qualify!,tree cutting service for $49 near my [zip] | tree cutting services for $49 near my [zip] | tree cutting service near my [zip] for $49 | tree cutting services near my [zip] for $49 | tree cutting service for $49 near me,6,backend/runs/2025-10-21_3pages/
3,Tree Removal for Just $49 – See If You Qualify!,tree cutting service for $49 near my zipcode | tree cutting services for $49 near my zipcode | tree cutting service near my zipcode for $49 | tree cutting services near my zipcode for $49 | tree cutting service for $49 near me,7,backend/runs/2025-10-21_3pages_headless/
