run_dir,generated_at,country,start_date,end_date,min_days,platforms_min,page_ids,files
backend/runs/2025-10-20_593450633843471/,2025-10-21T00:00:32.052Z,US,2025-09-20,2025-10-20,7,1,593450633843471,ads.csv|categories.csv|competitors.csv|hook_forcekey_sets.csv|hook_forcekeys.csv|hook_forcekeys_summary.csv|hooks.csv
backend/runs/2025-10-20_674166542440211/,2025-10-21T00:13:32.534Z,US,2025-09-20,2025-10-20,7,1,674166542440211,ads.csv|categories.csv|competitors.csv|hook_forcekey_sets.csv|hook_forcekeys.csv|hook_forcekeys_summary.csv|hooks.csv
backend/runs/2025-10-20_793983330455470/,2025-10-21T00:13:56.730Z,US,2025-09-20,2025-10-20,7,1,793983330455470,ads.csv|categories.csv|competitors.csv|hook_forcekey_sets.csv|hook_forcekeys.csv|hook_forcekeys_summary.csv|hooks.csv
backend/runs/2025-10-21_3pages/,2025-10-21T17:39:27.100Z,US,2025-09-01,2025-10-21,7,1,593450633843471|674166542440211|793983330455470,ads.csv|categories.csv|competitors.csv|hook_forcekey_sets.csv|hook_forcekeys.csv|hook_forcekeys_summary.csv|hooks.csv|pixel_matches.csv
backend/runs/2025-10-21_3pages_headless/,2025-10-21T17:52:25.544Z,US,2025-09-01,2025-10-21,7,1,593450633843471|674166542440211|793983330455470,ads.csv|categories.csv|competitors.csv|hook_forcekey_sets.csv|hook_forcekeys.csv|hook_forcekeys_summary.csv|hooks.csv|pixel_matches.csv
backend/runs/2025-10-21_3pages_headless_click/,2025-10-21T18:04:51.885Z,US,2025-09-01,2025-10-21,7,1,593450633843471|674166542440211|793983330455470,ads.csv|categories.csv|competitors.csv|hook_forcekey_sets.csv|hook_forcekeys.csv|hook_forcekeys_summary.csv|hooks.csv|pixel_matches.csv
backend/runs/2025-10-21_3pages_retry/,2025-10-21T19:12:58.667Z,US,2025-09-01,2025-10-21,7,1,593450633843471|674166542440211|793983330455470,ads.csv|categories.csv|competitors.csv|hook_forcekey_sets.csv|hook_forcekeys.csv|hook_forcekeys_summary.csv|hooks.csv|pixel_matches.csv|widget_phrase_matches.csv
backend/runs/2025-10-21_3pages_widget/,2025-10-21T18:37:20.846Z,US,2025-09-01,2025-10-21,7,1,593450633843471|674166542440211|793983330455470,ads.csv|categories.csv|competitors.csv|hook_forcekey_sets.csv|hook_forcekeys.csv|hook_forcekeys_summary.csv|hooks.csv|pixel_matches.csv|widget_phrase_matches.csv
backend/runs/2025-10-21_40libs/,2025-10-21T23:21:54.884Z,ALL,2025-09-01,2025-10-21,7,1,100143189842487|100441882140082|100745022768756|101787222926808|104129958962365|106676655664589|111878135159537|112504061318375|151769044693608|373169279205960|384823811372975|409975925540837|451702364693515|460311490503171|503069699564883|540603135808735|561550490382404|565006220038160|593450633843471|599629833230382|600634569801986|609667195574212|611430222043034|626663283862239|673379782526364|674166542440211|678220548710017|686064597921539|691414824059549|694329393767635|701319659731868|736998102822483|777888268731935|793983330455470|841749595677899|846884451832668,ads.csv|categories.csv|competitors.csv|hook_forcekey_sets.csv|hook_forcekeys.csv|hook_forcekeys_summary.csv|hooks.csv|pixel_matches.csv|widget_phrase_matches.csv
backend/runs/iterate/,,,,,,,,
