"Total","Facebook Campaign Name","Campaign Id","Campaign Owner","Date","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Revenue","Spent","Margin"
"Total",,,,,3367661,285642,75984,158554,65979,82326,0.28821391812128466,1.1617671816030413,94522.18696961598,76187.82,18334.366969615978
"Total","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM",,,,139792,11105,8643,7525,2342,2975,0.2678973435389464,1.1050052170613716,3394.8211756687997,1780.85,1613.9711756687998
"Total","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM","si0519o06p5","Dan",,139792,11105,8619,7525,2342,2975,0.2678973435389464,1.1050052170613716,3394.8211756687997,1780.85,1613.9711756687998
"Total","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM","si0519o06p5","Dan","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM","si0519o06p5","Dan","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM","si0519o06p5","Dan","2025-10-03",357,22,70,5,2,2,0.09090909090909091,1.043859649122807,0.396924,8.18,-7.783075999999999
"Total","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM","si0519o06p5","Dan","2025-10-04",2546,268,242,221,66,85,0.31716417910447764,1.1964285714285714,85.06577475,45.75,39.31577475
"Total","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM","si0519o06p5","Dan","2025-10-05",9392,911,753,707,229,278,0.305159165751921,1.1270850834033361,342.9284387832001,131.64,211.2884387832001
"Total","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM","si0519o06p5","Dan","2025-10-06",29845,2481,1862,1681,495,633,0.2551390568319226,1.0573210047118007,796.6712508207601,370.21,426.4612508207601
"Total","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM","si0519o06p5","Dan","2025-10-07",26669,2253,1685,1434,429,564,0.25033288948069243,1.0809419584954605,569.3914472399997,331.27,238.12144723999972
"Total","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM","si0519o06p5","Dan","2025-10-08",25780,1881,1355,1191,395,514,0.2732589048378522,1.064717300623632,573.608868355,307.01,266.59886835500004
"Total","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM","si0519o06p5","Dan","2025-10-09",45203,3289,2652,2286,726,899,0.27333536029188205,1.1712745834736868,1026.7584717198397,586.79,439.9684717198397
"Total","si0519o06p5_1003_DentalImplantTrialsCA_TL_DM","siy320o06pm","Dan","2025-10-03",0,0,24,0,0,0,0,0,0,0,0
"Total","si0o3cd06be_OnlineHighSchool_TriviaLibrary_Facebook_0424_TJ","si0o3cd06be","tj","2025-10-06",0,0,1,0,0,0,0,0,0,0,0
"Total","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","si0t3ko069n","tj",,0,0,0,0,0,0,0,0,0,0,0
"Total","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","si0t3ko069n","tj","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","si0t3ko069n","tj","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","si0t3ko069n","tj","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","si0t3ko069n","tj","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","si0t3ko069n","tj","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","si103j906p6_1002_MississippiRiverCruise - KeywordTest - FB - KW - BH","si103j906p6","ben",,12735,1039,1079,696,326,503,0.48411934552454283,1.1064291920069504,349.6640747406999,277.92999999999995,71.73407474069995
"Total","si103j906p6_1002_MississippiRiverCruise - KeywordTest - FB - KW - BH","si103j906p6","ben","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
