"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total",,,,,371760,31096,9490,17299,7065,8891,0.28592101878055054,1.1760537537803535,8282.73,10058.822151888704,1776.0921518887044
"Total","AnastasiaFB",,,,0,0,0,0,0,0,0,0,0,0,0
"Total","AnastasiaFB","sisq1a2060v","SmokingTrials","sisq1a2060v_0516_SmokingTrials_(NoPaidTest)_FB_TriviaLibrary_RSOC_AUBH",0,0,0,0,0,0,0,0,0,0,0
"Total","AnastasiaFB","si6bes06ys","BotoxEn","si6bes06ys_0516_BotoxEN_Ware_TL_RSOC_AUBH",0,0,0,0,0,0,0,0,0,0,0
"Total","AnastasiaFB","si7f3d0670","SenInternet","si7f3d0670_0621_SenInternet_FB_TL_KWGeoTesting_AUBH",0,0,0,0,0,0,0,0,0,0,0
"Total","AnastasiaFB","siqjdw06af","FatRemoval","siqjdw06af_0820_FatRemoval_FB_TL_RD_AUBH",0,0,0,0,0,0,0,0,0,0,0
"Total","AnastasiaFB","sivi1dm06uq","SmokingTrials","sivi1dm06uq_0522_SmokingTrials_(Paid to NoPaid)_FB_TriviaLibrary_RSOC_AUBH",0,0,0,0,0,0,0,0,0,0,0
"Total","AnastasiaFB","sicvyw06d5","FatRemoval","sicvyw06d5_0519_FatRemoval_FB_TriviaLibrary_RSOC_Template002_AUBH",0,0,0,0,0,0,0,0,0,0,0
"Total","AnastasiaFB","si2z1106g1","SenInternet","si2z1106g1_0607_SenInternet_FB_TL_CBO_AUBH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben",,,,189598,16278,3851,7558,3144,3960,0.24327312937707335,1.2112721046713688,4267.3,5404.3660752617,1137.0660752616996
"Total","ben","sidd7w0675","DentalImplantClinicalTrials","sidd7w0675_0717_DentalImplantTrials_FB_top20DMA_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sicd12b06w7","ImmigrationLawyer-SP","sicd12b06w7_0722_ImmigrationLawyer-SP - FB - TL - BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","siu8ct06d1","SeniorLiving","siu8ct06d1_0907_SeniorLiving_TL_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","siy0ib06q9","Botox","siy0ib06q9_0817_Botox_FB_TL_RD_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sio637u06qt","Diabetes","sio637u06qt_0714 DiabetesStudy_FB_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","siyhop06et","FatRemoval","siyhop06et_0609_FatRemoval_FB_TL_KeywordTest",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","siqiwo063j","DentalImplantClinicalTrials","siqiwo063j_0630_DentalImplantTrials_NoFreeKWs_Ware_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sieq6v06h2","DentalImplantClinicalTrials","sieq6v06h2_0616_DentalImplantTrials_FB_TL_FreeKeywords_Daypart",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sih0fd063q","Lasik-SP","sih0fd063q_0625_Lasik-SP - FB_TLRetirement_Ben",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","siix2x06r3","MotorcycleAccidentLawyer","siix2x06r3_0806_MotorcycleAccidentLawyer_FB_TL_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","silx3ox06zo","PlumbingTraining","silx3ox06zo_0915_PlumbingTraining_FB_Knowl_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sirr19y061j","LicensedPracticalNurse","sirr19y061j_0904_LicensedPracticalNurse_GovKws_FB_TL_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","si4917o06qv","Botox","si4917o06qv_0817_BotoxSPAN_FB_TL_RD_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sigy2nk06d1","DentalImplantClinicalTrials","sigy2nk06d1_0706_DentalImplantTrials_FB_TL_DPT10-10_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sivzmg06rb","DentalImplantClinicalTrials","sivzmg06rb_0717_DentalImplantTrials_FB_top40DMA_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sia5n806t9","DentalImplantClinicalTrials","sia5n806t9_0605_DentalImplants_SAL_Ben - Image Test",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sif340c06nk","SeniorApartments","sif340c06nk_0923_SeniorApartments_55+_KW_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sinwn306yl","hvacreplacement","sinwn306yl_0922 - Hvac Replacement (grants) - Knowl - BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sir0n8062w","DentalImplantClinicalTrials","sir0n8062w__0702_DentalImplantTrials_topkwst_DP8-10_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","silk1zh06pi","Neuropathy","silk1zh06pi_0919_ClinicalTrials (General)_FB_SP_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sicq1j206tp","ErectileDysfunction","sicq1j206tp_0824_ED1_FB_TopGeos_TL_RD_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sij2zf060t","Neuropathy","sij2zf060t_0820_Neuropathy_FB_SP_RD_BH",0,0,0,0,0,0,0,0,0,0,0
"Total","ben","sityjr06ii","WeightLossTrials_Canada","sityjr06ii_1001_WeighLossTrials_Canada_FB_KW_BH",8833,583,398,148,40,45,0.07718696397941681,1.557024502027146,115.37,47.10874452,-68.26125548
"Total","ben","si1g9b06dv","DiabetesStudy","si1g9b06dv_1003_DiabetesStudy_Canada_KeywordTest_FB_KW_BH",4149,439,574,126,47,54,0.12300683371298406,1.366150806717155,166.78,120.18213927849999,-46.59786072150001
"Total","ben","si262as06nm","DentalImplantClinicalTrials","si262as06nm_0831_DentalImplantTrials_FB_NewKWs_BH",13174,2127,8,791,296,367,0.17254348848142925,1.1568317527221637,393.32,494.56772615579973,101.24772615579974
"Total","ben","siklr806b6","DiabetesStudy","siklr806b6_0926_DiabetesStudy_Canada_FB_KW_BH",37467,1949,1663,802,268,339,0.17393535146228836,1.297828120128858,536.93,687.1546483799998,150.22464837999985
"Total","ben","sipx1dt06t9","Lasik-SP","sipx1dt06t9_0611_Lasik-SP_TL_Redo_RD_BH",3242,182,6,82,32,36,0.1978021978021978,1.2261724659606656,58.65,81.152916,22.502916000000006
"Total","ben","sifwtl0648","DentalImplantClinicalTrials","sifwtl0648_0911_DentalImplantTrials_FB_TL_RD_BH",21840,3090,14,1284,571,707,0.22880258899676376,1.136139000156063,708.93,958.1957372525003,249.26573725250034
"Total","ben","si1r3n706bu","DentalImplantClinicalTrials","si1r3n706bu_1002_DentalImplantTrials_Daypart_FB_HB_BH",8333,755,890,375,151,178,0.23576158940397351,1.126081081081081,162.26,269.84021016940005,107.58021016940006
"Total","ben","simt3jv06u3","DentalImplantClinicalTrials","simt3jv06u3_0924_DentalImplantTrials_FB_HB_BH",33884,3123,119,1572,617,762,0.24399615754082613,1.0628607277289837,710.35,988.7451755939001,278.39517559390003
"Total","ben","siz3ds062w","DentalImplantClinicalTrials","siz3ds062w_0915_DentalImplantTrials_Desktop_FD_BH",3795,219,0,123,43,56,0.2557077625570776,1.0400109619073719,137.36,190.02035254060002,52.6603525406
"Total","ben","si21nc064e","Automotive","si21nc064e_0521_NissanRogueSUVs_TL_FB_RD_BH - Copy",2945,283,1,160,67,84,0.2968197879858657,1.3218132854578097,62.1,80.584326557,18.484326556999996
"Total","ben","si1w7nc06fx","SenInternet","si1w7nc06fx_0918_SenInternet_FD_BH",18929,500,4,297,136,155,0.31,1.592813867384719,323.98,424.43411815540003,100.45411815540001
"Total","ben","sixa4906in","MississippiRiverCruise","sixa4906in_0922_MississippiRiverCruise_VideoTest_FB_KW - BH",10698,860,29,358,212,269,0.3127906976744186,1.1510652033570046,190,200.55146533549996,10.551465335499955
"Total","ben","si561ly069p","Automotive","si561ly069p_0819_NissanRogueSUVs_TL_FB_RD_BH",6250,559,19,315,150,205,0.3667262969588551,1.2403254614010717,157.15,199.8720234776,42.722023477600004
"Total","ben","sink27x06ek","JeepGrandCherokeeSUVs","sink27x06ek_0915_JeepGrandCherokeeSUVs_Knowl_BH",6955,707,22,460,196,281,0.39745403111739747,1.11173273657289,257.27,273.82263467099995,16.552634670999964
"Total","ben","sijl1r706ds","Automotive","sijl1r706ds_0825_FordvDodge_FB_TL_Test_RD_BH",3848,416,9,294,136,176,0.4230769230769231,1.1258045640725571,131.85,139.630615949,7.780615949000008
"Total","ben","siib1il065m","Automotive","siib1il065m_0827__FordvDodge_Content2_FB_TL_RD_BH",1344,96,4,79,33,42,0.4375,1.20863309352518,25.88,36.354363557,10.474363557
"Total","ben","si103j906p6","MississippiRiverCruise","si103j906p6_1002_MississippiRiverCruise - KeywordTest - FB - KW - BH",993,89,79,59,37,43,0.48314606741573035,1.1157303370786518,19.83,36.06131427850001,16.231314278500008
"Total","ben","si37jj06cy","Automotive","si37jj06cy_0828_NissanRogueSUVs_AdSets_SP_FB_RD_BH",2919,301,12,233,112,161,0.5348837209302325,1.1040090771558244,109.29,176.08756339000004,66.79756339000004
