"Total","Campaign Owner","Strategis Id","Category","Facebook Campaign Name","Date","Viewable Impressions","Facebook Clicks","Strategis Impressions","S1 Searches","Conversions","S1 Clicks","Conversion Rate","Frequency","Spent","Revenue","Margin"
"Total","tj",,,,,890039,78066,21566,52247,22124,27292,0.3496016191427766,1.1273908505474572,19563.180000000015,23703.93269816353,4140.7526981635165
"Total","tj","si0o3cd06be","OnlineHighSchool","si0o3cd06be_OnlineHighSchool_TriviaLibrary_Facebook_0424_TJ","2025-10-06",0,0,1,0,0,0,0,0,0,0,0
"Total","tj","si0t3ko069n","CDL","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ",,0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si0t3ko069n","CDL","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-01",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si0t3ko069n","CDL","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-02",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si0t3ko069n","CDL","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si0t3ko069n","CDL","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si0t3ko069n","CDL","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si0t3ko069n","CDL","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si0t3ko069n","CDL","si0t3ko069n_CDL_0909_Facebook_KnowledgeWarehouse_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si2m1qo06v6","CreditCard","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ",,9420,887,10,754,374,501,0.5648252536640361,1.166707951449096,353.77000000000004,391.670498078,37.90049807799994
"Total","tj","si2m1qo06v6","CreditCard","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-01",1402,117,2,98,59,68,0.5811965811965812,1.1722408026755853,49.89,45.78895983819999,-4.101040161800007
"Total","tj","si2m1qo06v6","CreditCard","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-02",1230,110,1,83,45,61,0.5545454545454546,1.1669829222011385,42.69,49.838089595199975,7.148089595199977
"Total","tj","si2m1qo06v6","CreditCard","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-03",1090,96,2,93,46,60,0.625,1.199119911991199,40.3,49.005319560000004,8.705319560000007
"Total","tj","si2m1qo06v6","CreditCard","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-04",972,104,0,102,42,78,0.75,1.1853658536585365,35.87,52.1761702907,16.306170290700003
"Total","tj","si2m1qo06v6","CreditCard","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-05",1530,165,1,113,57,71,0.4303030303030303,1.146067415730337,56.12,58.42477684539997,2.304776845399971
"Total","tj","si2m1qo06v6","CreditCard","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-06",1480,137,2,120,63,77,0.5620437956204379,1.1526479750778815,54.35,68.64078899999998,14.290788999999982
"Total","tj","si2m1qo06v6","CreditCard","si2m1qo06v6_CreditCard_0917_Facebook_KnowledgeWarehouse_TJ","2025-10-07",1716,158,2,145,62,86,0.5443037974683544,1.1626016260162602,74.55,67.7963929485,-6.753607051499998
"Total","tj","si2tdt06ve","MississippiRiverCruise","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ",,2371,136,19,80,48,55,0.40441176470588236,1.0463371579876435,44.510000000000005,42.870863455800006,-1.6391365441999994
"Total","tj","si2tdt06ve","MississippiRiverCruise","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","2025-10-01",1422,77,19,47,27,30,0.38961038961038963,1.0588235294117647,27.41,21.382797150200002,-6.027202849799998
"Total","tj","si2tdt06ve","MississippiRiverCruise","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","2025-10-02",949,59,0,33,21,25,0.423728813559322,1.028169014084507,17.1,21.4880663056,4.388066305599999
"Total","tj","si2tdt06ve","MississippiRiverCruise","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","2025-10-03",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si2tdt06ve","MississippiRiverCruise","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","2025-10-04",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si2tdt06ve","MississippiRiverCruise","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","2025-10-05",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si2tdt06ve","MississippiRiverCruise","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","2025-10-06",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si2tdt06ve","MississippiRiverCruise","si2tdt06ve_MississippiRiverCruise_0922_Desktop_Founddelights_TJ","2025-10-07",0,0,0,0,0,0,0,0,0,0,0
"Total","tj","si322d406uf","OnceAMonthMaid","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ",,4385,544,512,447,182,236,0.4338235294117647,1.1226318484383,107.76,119.6598425733,11.899842573299992
"Total","tj","si322d406uf","OnceAMonthMaid","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","2025-10-01",630,83,84,71,28,30,0.3614457831325301,1.0918544194107451,15.22,16.282905,1.0629049999999989
"Total","tj","si322d406uf","OnceAMonthMaid","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","2025-10-02",500,62,57,47,22,23,0.3709677419354839,1.1086474501108647,12.16,11.255272595200003,-0.9047274047999974
"Total","tj","si322d406uf","OnceAMonthMaid","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","2025-10-03",527,58,56,39,15,17,0.29310344827586204,1.1236673773987207,13.49,6.627548280000001,-6.862451719999999
"Total","tj","si322d406uf","OnceAMonthMaid","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","2025-10-04",515,62,53,50,20,24,0.3870967741935484,1.1368653421633554,13.38,17.4723832907,4.092383290700001
"Total","tj","si322d406uf","OnceAMonthMaid","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","2025-10-05",679,81,74,65,27,32,0.3950617283950617,1.0969305331179322,17.57,14.783569268100003,-2.7864307318999977
"Total","tj","si322d406uf","OnceAMonthMaid","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","2025-10-06",749,106,96,87,34,57,0.5377358490566038,1.1612403100775195,17.42,30.293650303799996,12.873650303799995
"Total","tj","si322d406uf","OnceAMonthMaid","si322d406uf_OnceAMonthMaid_0926_KnowledgeWarehouse_TJ","2025-10-07",785,92,92,88,36,53,0.5760869565217391,1.134393063583815,18.52,22.944513835499997,4.424513835499997
